model,experiment_id,experiment_name,case_id,cv_extraction_correctness,supplemental_evidence_completeness,cv_schema_validity,reference_grounding,llm_reference_judge,notes
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-001,0.7042,0.5,1.0,0.6176,0.72,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-002,0.7042,0.5,1.0,0.7586,0.82,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-003,0.7042,0.5,1.0,0.6061,0.72,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-004,0.7375,0.5,1.0,0.6667,0.62,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-005,0.7042,0.5,1.0,0.6471,0.56,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-006,0.7042,0.5,1.0,0.6364,0.74,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-007,0.7375,0.5,1.0,0.6061,0.62,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-008,0.7796,0.5,1.0,0.64,0.42,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-009,0.7042,0.5,1.0,0.5714,0.62,Live LangSmith evaluator export
gpt-5.4,67fa2b7e-21e4-440c-ac65-ce3eaf7b79b1,cv-extraction-236c2889,cv-eval-010,0.7042,0.5,1.0,0.5143,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,0.7708,0.5,1.0,0.7,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,0.7708,0.5,1.0,0.7857,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,0.7708,0.5,1.0,0.6897,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,0.7708,0.5,1.0,0.5946,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,0.7708,0.5,1.0,0.6765,0.62,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,0.7708,0.5,1.0,0.7097,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,0.7708,0.5,1.0,0.5882,0.72,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,0.8059,0.5,1.0,0.7556,0.18,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,0.7708,0.5,1.0,0.84,0.78,Live LangSmith evaluator export
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,0.7708,0.5,1.0,0.5833,0.62,Live LangSmith evaluator export
