model,experiment_id,experiment_name,case_id,score_key,score,comment,latency_ms,total_cost_usd
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,25233.22,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,cv_schema_validity,1.0,output validates as CandidateCVExtracted,25233.22,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,llm_reference_judge,0.72,"Core identity matches the reference well (name, email, phone, location, nationality). Work experience and education are present and aligned, but the extraction adds unsupported details such as street address, postal code, exact dates, and expanded job descriptions. Skills include all reference skills but also extra soft skills not in the reference. Certifications and references are more detailed than the reference and may be inferred rather than directly supported. Overall faithful but with notable unsupported additions.",25233.22,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,reference_grounding,0.7,claims=30; unsupported=9; examples=+14160001003 | bachelor of arts in communication studies | example valley university | 2016 - 2020 | communicated clearly with colleagues,25233.22,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-001,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",25233.22,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,16636.92,0.00551325
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,cv_schema_validity,1.0,output validates as CandidateCVExtracted,16636.92,0.00551325
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,llm_reference_judge,0.72,"Identity is largely faithful: name, city, country, email, and employer references align, but phone formatting differs from the reference and extra address fields are unsupported. Work experience and education are present and broadly correct, though the output adds dates/details not in the reference. Skills include all reference skills plus an unsupported extra skill (Metric reporting). Languages and certifications are over-specified beyond the reference, and references are expanded with emails not supported by the reference. Overall good extraction with several unsupported additions, so not a perfect score.",16636.92,0.00551325
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,reference_grounding,0.7857,claims=28; unsupported=6; examples=+491510001004 | campaign planning | metric reporting,16636.92,0.00551325
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-002,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",16636.92,0.00551325
